feature,importance,is_missing_indicator,feature_class
grid_position_norm,0.12935953073195272,False,stable
qualifying_position,0.11755021039396207,False,stable
grid_adjusted,0.09967357585539634,False,stable
qualifying_gap_to_pole_pct,0.08365718377186866,False,stable
driver_points_last_5,0.05707996922943208,False,era_sensitive
driver_standing_position_prev,0.055332574128346974,False,stable
constructor_standing_position_prev,0.048734032992680754,False,stable
driver_avg_finish_last_5,0.045253206777082916,False,stable
driver_podiums_last_5,0.044840952368508026,False,era_sensitive
constructor_wins_last_5,0.03670240282785643,False,era_sensitive
constructor_podiums_last_5,0.029648865678108198,False,era_sensitive
driver_wins_last_10,0.025293792894847053,False,era_sensitive
driver_standing_wins_prev,0.02058283285555176,False,era_sensitive
driver_experience_races,0.01937893432239049,False,stable
constructor_standing_points_prev,0.019253029596877098,False,era_sensitive
q3_sec,0.018122988570466854,False,experimental
driver_standing_points_prev,0.017432149319019864,False,era_sensitive
driver_circuit_avg_finish,0.016350757604416483,False,experimental
q1_sec,0.016333746261754267,False,experimental
q2_sec,0.015150426754861859,False,experimental
constructor_wins_last_3,0.014731479883558243,False,era_sensitive
driver_wins_last_5,0.01195665389896332,False,era_sensitive
driver_circuit_starts,0.011297714083296563,False,experimental
constructor_circuit_wins,0.010120182694761325,False,experimental
driver_wins_last_3,0.008030731413081534,False,era_sensitive
constructor_dnf_rate_last_5,0.006169298207894887,False,era_sensitive
driver_circuit_wins,0.005771528908651894,False,experimental
missingindicator_q3_sec,0.00524924003218035,True,experimental
reached_q3,0.004991523915777674,False,stable
driver_dnf_rate_last_5,0.0037349065628460502,False,stable
missingindicator_q2_sec,0.0010896184828088702,True,experimental
missingindicator_driver_circuit_avg_finish,0.0008225923701318906,True,experimental
reached_q2,0.0002583450669395355,False,stable
missingindicator_qualifying_gap_to_pole_pct,2.0152414667893467e-05,True,stable
missingindicator_driver_standing_points_prev,1.940498977521864e-05,True,era_sensitive
missingindicator_q1_sec,5.351841572112756e-06,True,experimental
missingindicator_constructor_standing_points_prev,1.010574537504655e-07,True,era_sensitive
missingindicator_driver_standing_wins_prev,1.1240257992796254e-08,True,era_sensitive
missingindicator_constructor_standing_position_prev,4.23108589867479e-17,True,stable
missingindicator_driver_standing_position_prev,1.0877250893564672e-17,True,stable
missingindicator_driver_wins_last_3,5.760400336330807e-18,True,era_sensitive
pit_lane_start,5.0547242644417196e-18,False,stable
missingindicator_driver_dnf_rate_last_5,2.676661836701475e-18,True,stable
missingindicator_constructor_wins_last_5,2.4236593943744574e-18,True,era_sensitive
missingindicator_constructor_dnf_rate_last_5,2.276695730493329e-18,True,era_sensitive
missingindicator_driver_points_last_5,1.764539611073797e-18,True,era_sensitive
missingindicator_driver_avg_finish_last_5,1.129428280804838e-18,True,stable
missingindicator_driver_wins_last_10,1.0765749233826091e-18,True,era_sensitive
missingindicator_driver_wins_last_5,1.0657318048885554e-18,True,era_sensitive
missingindicator_driver_podiums_last_5,7.429812311708167e-19,True,era_sensitive
missingindicator_constructor_podiums_last_5,4.647484529404887e-19,True,era_sensitive
missingindicator_qualifying_position,0.0,True,stable
missingindicator_constructor_wins_last_3,0.0,True,era_sensitive
