feature,top1_drop_mean,top1_drop_std,feature_class
driver_avg_finish_last_5,0.036363636363636376,0.0421528113431623,stable
driver_circuit_starts,0.03181818181818179,0.011134044285378071,experimental
driver_points_last_5,0.03181818181818179,0.011134044285378071,era_sensitive
constructor_circuit_wins,0.03181818181818179,0.011134044285378071,experimental
driver_standing_position_prev,0.027272727272727247,0.009090909090909084,stable
driver_wins_last_10,0.027272727272727247,0.009090909090909084,era_sensitive
driver_wins_last_3,0.022727272727272707,0.01437398936440171,era_sensitive
driver_podiums_last_5,0.022727272727272707,0.01437398936440171,era_sensitive
constructor_wins_last_3,0.022727272727272707,0.0,era_sensitive
qualifying_gap_to_pole_pct,0.018181818181818188,0.03015113445777637,stable
driver_dnf_rate_last_5,0.018181818181818167,0.009090909090909084,stable
constructor_wins_last_5,0.013636363636363624,0.018181818181818164,era_sensitive
constructor_podiums_last_5,0.013636363636363624,0.011134044285378071,era_sensitive
q1_sec,0.009090909090909084,0.02317736142542173,experimental
driver_circuit_avg_finish,0.009090909090909084,0.018181818181818167,experimental
constructor_standing_points_prev,0.009090909090909084,0.018181818181818164,era_sensitive
q2_sec,0.004545454545454542,0.01700753357624517,experimental
driver_standing_wins_prev,0.004545454545454542,0.009090909090909084,era_sensitive
driver_standing_points_prev,0.004545454545454542,0.01700753357624517,era_sensitive
reached_q3,0.004545454545454542,0.009090909090909084,stable
q3_sec,0.004545454545454542,0.009090909090909084,experimental
driver_wins_last_5,0.004545454545454542,0.009090909090909084,era_sensitive
qualifying_position,0.0,0.03214121732666122,stable
pit_lane_start,0.0,0.0,stable
constructor_dnf_rate_last_5,-0.004545454545454542,0.009090909090909084,era_sensitive
driver_experience_races,-0.004545454545454542,0.01700753357624517,stable
grid_adjusted,-0.009090909090909084,0.018181818181818164,stable
constructor_standing_position_prev,-0.009090909090909084,0.02317736142542173,stable
reached_q2,-0.013636363636363624,0.011134044285378073,stable
grid_position_norm,-0.013636363636363624,0.02317736142542173,stable
driver_circuit_wins,-0.022727272727272707,0.0,experimental
