feature,mean_abs_shap,feature_class
grid_position_norm,0.06798083781780058,stable
qualifying_position,0.05639170154393093,stable
grid_adjusted,0.05362289359486439,stable
qualifying_gap_to_pole_pct,0.036571165311706934,stable
driver_points_last_5,0.03289063087380304,era_sensitive
driver_avg_finish_last_5,0.025580339884912366,stable
constructor_standing_position_prev,0.024761515890303405,stable
driver_standing_position_prev,0.023862070795444428,stable
driver_podiums_last_5,0.017753400870700188,era_sensitive
driver_experience_races,0.014196387986278066,stable
constructor_standing_points_prev,0.012300603057325022,era_sensitive
driver_wins_last_10,0.011659857339394267,era_sensitive
constructor_podiums_last_5,0.011379244455070383,era_sensitive
driver_standing_points_prev,0.01109921310707969,era_sensitive
driver_circuit_avg_finish,0.010776737399043472,experimental
q3_sec,0.010354822172906395,experimental
constructor_wins_last_5,0.010111078287515155,era_sensitive
q2_sec,0.009156167676963544,experimental
q1_sec,0.00910352059195686,experimental
driver_standing_wins_prev,0.008395080093653355,era_sensitive
driver_circuit_starts,0.007893436574555792,experimental
driver_wins_last_5,0.00682798076513385,era_sensitive
constructor_circuit_wins,0.006533225885137437,experimental
driver_wins_last_3,0.006268772754744533,era_sensitive
missingindicator_q3_sec,0.005503308652366385,experimental
reached_q3,0.005010121279101219,stable
constructor_dnf_rate_last_5,0.004487490027361393,era_sensitive
driver_circuit_wins,0.004427714642306291,experimental
constructor_wins_last_3,0.003886458450779135,era_sensitive
driver_dnf_rate_last_5,0.0026207931396355607,stable
missingindicator_driver_circuit_avg_finish,0.0008411687153605035,experimental
missingindicator_q2_sec,0.0006734811927785223,experimental
reached_q2,0.00030767209090825373,stable
missingindicator_driver_standing_points_prev,1.2696783411488718e-05,era_sensitive
missingindicator_qualifying_gap_to_pole_pct,1.1557268388539745e-05,stable
missingindicator_q1_sec,3.81749441585433e-06,experimental
missingindicator_driver_standing_wins_prev,2.5554688623134155e-07,era_sensitive
missingindicator_constructor_standing_points_prev,2.2320499498081833e-07,era_sensitive
pit_lane_start,0.0,stable
missingindicator_driver_wins_last_3,0.0,era_sensitive
missingindicator_qualifying_position,0.0,stable
missingindicator_driver_wins_last_5,0.0,era_sensitive
missingindicator_driver_wins_last_10,0.0,era_sensitive
missingindicator_driver_podiums_last_5,0.0,era_sensitive
missingindicator_driver_avg_finish_last_5,0.0,stable
missingindicator_constructor_wins_last_5,0.0,era_sensitive
missingindicator_constructor_wins_last_3,0.0,era_sensitive
missingindicator_driver_points_last_5,0.0,era_sensitive
missingindicator_driver_dnf_rate_last_5,0.0,stable
missingindicator_driver_standing_position_prev,0.0,stable
missingindicator_constructor_dnf_rate_last_5,0.0,era_sensitive
missingindicator_constructor_podiums_last_5,0.0,era_sensitive
missingindicator_constructor_standing_position_prev,0.0,stable
